%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.attitude,field.utm_easting,field.utm_northing,field.quality
1582906580447213934,4558,1582906580446448087,,42.3388886717,-71.0844895717,4.283,328282.948953,4689508.06424,4
1582906580650883234,4559,1582906580650104045,,42.3388869083,-71.0844916883,4.299,328282.769778,4689507.87271,4
1582906580844902051,4560,1582906580844269990,,42.3388852267,-71.0844938483,4.263,328282.587256,4689507.69033,4
1582906581049844340,4561,1582906581049307107,,42.33888328,-71.0844958067,4.248,328282.420626,4689507.47813,4
1582906581265987054,4562,1582906581265449047,,42.338881615,-71.0844978583,4.257,328282.247073,4689507.29738,4
1582906581448502086,4563,1582906581447752952,,42.3388799483,-71.0845000067,4.236,328282.065552,4689507.11665,4
1582906581644795072,4564,1582906581644220113,,42.33887816,-71.0845020117,4.25,328281.895509,4689506.92212,4
1582906581840383678,4565,1582906581839745044,,42.33887654,-71.084503975,4.256,328281.729356,4689506.7462,4
1582906582046464525,4566,1582906582045819997,,42.3388746867,-71.0845059283,4.211,328281.563391,4689506.54434,4
1582906582248974985,4567,1582906582248457908,,42.3388730483,-71.08450813,4.252,328281.377554,4689506.36687,4
1582906582441510065,4568,1582906582440834999,,42.3388714217,-71.08451029,4.254,328281.195181,4689506.1906,4
1582906582645262470,4569,1582906582644751071,,42.3388698133,-71.084512245,4.251,328281.029746,4689506.01595,4
1582906582839463342,4570,1582906582839231967,,42.3388681033,-71.0845143017,4.284,328280.855659,4689505.83022,4
1582906583047326712,4571,1582906583047056913,,42.3388664117,-71.084516275,4.25,328280.688487,4689505.64636,4
1582906583261965167,4572,1582906583261183023,,42.3388646983,-71.0845180633,4.278,328280.536497,4689505.45972,4
1582906583446160453,4573,1582906583445630073,,42.3388630067,-71.084520235,4.287,328280.352986,4689505.27626,4
1582906583642729351,4574,1582906583642396926,,42.3388613067,-71.0845223033,4.269,328280.177965,4689505.09167,4
1582906583843143909,4575,1582906583841717958,,42.3388595483,-71.0845244767,4.292,328279.994135,4689504.90081,4
1582906584051221145,4576,1582906584050440073,,42.3388578567,-71.0845267,4.272,328279.806368,4689504.71745,4
1582906584261314020,4577,1582906584260808944,,42.3388559967,-71.084528835,4.239,328279.625419,4689504.51522,4
1582906584445697460,4578,1582906584444822072,,42.3388543283,-71.08453094,4.274,328279.447464,4689504.33422,4
1582906584646504391,4579,1582906584646106004,,42.33885272,-71.084532995,4.265,328279.273791,4689504.15978,4
1582906584846495831,4580,1582906584845432043,,42.33885102,-71.0845351167,4.256,328279.094376,4689503.97529,4
1582906585047438493,4581,1582906585047074079,,42.3388492717,-71.0845373233,4.268,328278.907827,4689503.78561,4
1582906585263840064,4582,1582906585263317108,,42.3388475833,-71.08453942,4.229,328278.730504,4689503.60236,4
1582906585446732230,4583,1582906585446115016,,42.3388457433,-71.0845414733,4.251,328278.556337,4689503.40219,4
1582906585645769297,4584,1582906585645011901,,42.3388442033,-71.0845435683,4.275,328278.379555,4689503.23542,4
1582906585850244329,4585,1582906585849608898,,42.3388425167,-71.0845456267,4.24,328278.205394,4689503.05228,4
1582906586041827930,4586,1582906586041517019,,42.338840805,-71.08454796,4.252,328278.00851,4689502.86693,4
1582906586251377382,4587,1582906586251208066,,42.3388391883,-71.0845497433,4.255,328277.857195,4689502.69101,4
1582906586446601229,4588,1582906586446324110,,42.3388372583,-71.0845515567,4.218,328277.702555,4689502.48036,4
1582906586645361575,4589,1582906586645015001,,42.3388356267,-71.0845536083,4.276,328277.529093,4689502.30332,4
1582906586839565236,4590,1582906586838913917,,42.3388339717,-71.0845558533,4.264,328277.33964,4689502.12408,4
1582906587044016157,4591,1582906587043394088,,42.3388321317,-71.084558,4.26,328277.157785,4689501.9241,4
1582906587258138045,4592,1582906587257505893,,42.338830385,-71.0845601967,4.28,328276.972064,4689501.73458,4
1582906587438844021,4593,1582906587438129901,,42.3388286417,-71.0845622283,4.22,328276.799946,4689501.5451,4
1582906587644677630,4594,1582906587643390893,,42.3388268783,-71.084564385,4.261,328276.617475,4689501.35365,4
1582906587850945299,4595,1582906587850084066,,42.33882522,-71.0845663533,4.275,328276.450806,4689501.17348,4
1582906588047628399,4596,1582906588046554088,,42.3388235467,-71.084568465,4.204,328276.272287,4689500.99193,4
1582906588252913738,4597,1582906588252403974,,42.338821755,-71.0845706633,4.257,328276.086307,4689500.79742,4
1582906588447872646,4598,1582906588447192907,,42.33882006,-71.084572655,4.224,328275.917615,4689500.61323,4
1582906588649558214,4599,1582906588649059057,,42.3388182217,-71.0845746067,4.219,328275.751829,4689500.41304,4
1582906588849464400,4600,1582906588848644018,,42.3388164733,-71.0845765917,4.258,328275.583541,4689500.22291,4
1582906589043467030,4601,1582906589042814016,,42.33881492,-71.0845787683,4.225,328275.399994,4689500.05482,4
1582906589250097310,4602,1582906589249510049,,42.3388132367,-71.084581,4.227,328275.211563,4689499.8724,4
1582906589448783723,4603,1582906589447603940,,42.3388116167,-71.0845831883,4.252,328275.026874,4689499.69693,4
